,_id,animalSettlement,animalType,isPregmant,weight
261,640f6ef10c8f4c1edc676819,1a40025792,SIN ESPECIFICAR,,
262,640f6ef10c8f4c1edc676806,1a40025792,SIN ESPECIFICAR,,
263,640f6ef10c8f4c1edc676820,1a40025792,SIN ESPECIFICAR,,
264,640f6ef10c8f4c1edc67680e,1a40025792,SIN ESPECIFICAR,,
265,640f6ef10c8f4c1edc676812,1a40025792,SIN ESPECIFICAR,,
266,640f6ef10c8f4c1edc67680b,1a40025792,SIN ESPECIFICAR,,
267,640f6ef10c8f4c1edc67681e,1a40025792,SIN ESPECIFICAR,,
268,640f6ef10c8f4c1edc676813,1a40025792,SIN ESPECIFICAR,,
269,640f6ef10c8f4c1edc676825,1a40025792,SIN ESPECIFICAR,,
270,640f6ef10c8f4c1edc676817,1a40025792,SIN ESPECIFICAR,,
271,640f6ef10c8f4c1edc676810,1a40025792,SIN ESPECIFICAR,,
272,640f6ef10c8f4c1edc676823,1a40025792,SIN ESPECIFICAR,,
273,640f6ef10c8f4c1edc676818,1a40025792,SIN ESPECIFICAR,,
274,640f6ef10c8f4c1edc67682a,1a40025792,SIN ESPECIFICAR,,
275,640f6ef10c8f4c1edc67681c,1a40025792,SIN ESPECIFICAR,,
276,640f6ef10c8f4c1edc676815,1a40025792,SIN ESPECIFICAR,,
277,640f6ef10c8f4c1edc67682f,1a40025792,SIN ESPECIFICAR,,
278,640f6ef10c8f4c1edc676821,1a40025792,SIN ESPECIFICAR,,
279,640f6ef10c8f4c1edc67681d,1a40025792,SIN ESPECIFICAR,,
280,640f6ef10c8f4c1edc676828,1a40025792,SIN ESPECIFICAR,,
281,640f6ef10c8f4c1edc67681a,1a40025792,SIN ESPECIFICAR,,
282,640f6ef10c8f4c1edc676834,1a40025792,SIN ESPECIFICAR,,
283,640f6ef10c8f4c1edc676826,1a40025792,SIN ESPECIFICAR,,
284,640f6ef10c8f4c1edc676822,1a40025792,SIN ESPECIFICAR,,
285,640f6ef10c8f4c1edc67682d,1a40025792,SIN ESPECIFICAR,,
286,640f6ef10c8f4c1edc67681f,1a40025792,SIN ESPECIFICAR,,
287,640f6ef10c8f4c1edc67682b,1a40025792,SIN ESPECIFICAR,,
288,640f6ef10c8f4c1edc676832,1a40025792,SIN ESPECIFICAR,,
289,640f6ef10c8f4c1edc676839,1a40025792,SIN ESPECIFICAR,,
290,640f6ef10c8f4c1edc676824,1a40025792,SIN ESPECIFICAR,,
291,640f6ef10c8f4c1edc676827,1a40025792,SIN ESPECIFICAR,,
292,640f6ef10c8f4c1edc676837,1a40025792,SIN ESPECIFICAR,,
293,640f6ef10c8f4c1edc676829,1a40025792,SIN ESPECIFICAR,,
294,640f6ef10c8f4c1edc676830,1a40025792,SIN ESPECIFICAR,,
295,640f6ef10c8f4c1edc67683e,1a40025792,SIN ESPECIFICAR,,
296,640f6ef10c8f4c1edc67682c,1a40025792,SIN ESPECIFICAR,,
297,640f6ef10c8f4c1edc67682e,1a40025792,SIN ESPECIFICAR,,
298,640f6ef10c8f4c1edc676835,1a40025792,SIN ESPECIFICAR,,
299,640f6ef10c8f4c1edc676831,1a40025792,SIN ESPECIFICAR,,
300,640f6ef10c8f4c1edc676843,1a40025792,SIN ESPECIFICAR,,
301,640f6ef10c8f4c1edc67683c,1a40025792,SIN ESPECIFICAR,,
